scholar_name, video_title, video_id
Ibn Sina, Ibn Sina - The Master Physician (Oases of Wisdom), ViI5ZwC8cgM
Al-Ghazali, Al-Ghazali - The Proof of Islam (Oases of Wisdom), Dlf_tIfQmKM
Al-Kindi, Al-Kindi - Father of Arab Philosophy (Oases of Wisdom), yDhXXHjlBvo
Al-Farabi, Al-Farabi - The Second Teacher (Oases of Wisdom), vm5Bw0i4rSM
